Location,Test,timestamp,Deployment,Command,Tps
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"PING_INLINE","66889.63"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"PING_BULK","65231.57"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SET","65963.06"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"GET","63371.36"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"INCR","58411.21"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPUSH","66755.67"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPOP","64516.13"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SADD","65189.05"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SPOP","61162.08"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPUSH (needed to benchmark LRANGE)","64350.06"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_100 (first 100 elements)","41597.34"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_300 (first 300 elements)","16977.93"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_500 (first 450 elements)","12033.69"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_600 (first 600 elements)","10250.10"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"MSET (10 keys)","57570.52"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"PING_INLINE","57937.43"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"PING_BULK","54704.60"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SET","50556.12"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"GET","55772.45"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"INCR","57870.37"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPUSH","62344.14"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPOP","61538.46"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SADD","63938.62"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SPOP","58962.27"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPUSH (needed to benchmark LRANGE)","55279.16"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_100 (first 100 elements)","37216.23"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_300 (first 300 elements)","17464.20"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_500 (first 450 elements)","12610.34"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_600 (first 600 elements)","10210.33"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"MSET (10 keys)","53908.36"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"PING_INLINE","49652.43"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"PING_BULK","51072.52"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SET","49825.61"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"GET","49900.20"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"INCR","51203.28"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPUSH","51334.70"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPOP","51255.77"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SADD","48709.21"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SPOP","50787.20"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPUSH (needed to benchmark LRANGE)","49164.21"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_100 (first 100 elements)","34083.16"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_300 (first 300 elements)","17064.85"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_500 (first 450 elements)","12196.61"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_600 (first 600 elements)","9790.48"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"MSET (10 keys)","44052.86"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"PING_INLINE","73206.44"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"PING_BULK","74239.05"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SET","74183.98"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"GET","70028.02"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"INCR","70175.44"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPUSH","69832.40"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPOP","71225.07"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SADD","69637.88"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SPOP","66979.23"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPUSH (needed to benchmark LRANGE)","68870.52"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LRANGE_100 (first 100 elements)","40950.04"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LRANGE_300 (first 300 elements)","16545.33"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LRANGE_500 (first 450 elements)","12292.56"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LRANGE_600 (first 600 elements)","10388.53"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"MSET (10 keys)","58823.53"
10gRemote,basic,20160518_17-19,physical,"PING_INLINE","66225.16"
10gRemote,basic,20160518_17-19,physical,"PING_BULK","67340.07"
10gRemote,basic,20160518_17-19,physical,"SET","62617.41"
10gRemote,basic,20160518_17-19,physical,"GET","57306.59"
10gRemote,basic,20160518_17-19,physical,"INCR","58788.95"
10gRemote,basic,20160518_17-19,physical,"LPUSH","57870.37"
10gRemote,basic,20160518_17-19,physical,"LPOP","57736.72"
10gRemote,basic,20160518_17-19,physical,"SADD","59737.16"
10gRemote,basic,20160518_17-19,physical,"SPOP","61199.51"
10gRemote,basic,20160518_17-19,physical,"LPUSH (needed to benchmark LRANGE)","55248.62"
10gRemote,basic,20160518_17-19,physical,"LRANGE_100 (first 100 elements)","43177.89"
10gRemote,basic,20160518_17-19,physical,"LRANGE_300 (first 300 elements)","17537.71"
10gRemote,basic,20160518_17-19,physical,"LRANGE_500 (first 450 elements)","12239.90"
10gRemote,basic,20160518_17-19,physical,"LRANGE_600 (first 600 elements)","10308.22"
10gRemote,basic,20160518_17-19,physical,"MSET (10 keys)","51150.89"
Local,basic,20160513_21-33,kvmBridgeBr0,"PING_INLINE","88183.43"
Local,basic,20160513_21-33,kvmBridgeBr0,"PING_BULK","89686.10"
Local,basic,20160513_21-33,kvmBridgeBr0,"SET","85689.80"
Local,basic,20160513_21-33,kvmBridgeBr0,"GET","88183.43"
Local,basic,20160513_21-33,kvmBridgeBr0,"INCR","85910.65"
Local,basic,20160513_21-33,kvmBridgeBr0,"LPUSH","83194.67"
Local,basic,20160513_21-33,kvmBridgeBr0,"LPOP","84388.19"
Local,basic,20160513_21-33,kvmBridgeBr0,"SADD","85984.52"
Local,basic,20160513_21-33,kvmBridgeBr0,"SPOP","88495.58"
Local,basic,20160513_21-33,kvmBridgeBr0,"LPUSH (needed to benchmark LRANGE)","79744.82"
Local,basic,20160513_21-33,kvmBridgeBr0,"LRANGE_100 (first 100 elements)","43898.15"
Local,basic,20160513_21-33,kvmBridgeBr0,"LRANGE_300 (first 300 elements)","18608.11"
Local,basic,20160513_21-33,kvmBridgeBr0,"LRANGE_500 (first 450 elements)","13077.02"
Local,basic,20160513_21-33,kvmBridgeBr0,"LRANGE_600 (first 600 elements)","10148.16"
Local,basic,20160513_21-33,kvmBridgeBr0,"MSET (10 keys)","63653.72"
Local,basic,20160513_21-33,kvmNetworkDefault,"PING_INLINE","89365.51"
Local,basic,20160513_21-33,kvmNetworkDefault,"PING_BULK","89126.56"
Local,basic,20160513_21-33,kvmNetworkDefault,"SET","88495.58"
Local,basic,20160513_21-33,kvmNetworkDefault,"GET","91659.03"
Local,basic,20160513_21-33,kvmNetworkDefault,"INCR","83822.30"
Local,basic,20160513_21-33,kvmNetworkDefault,"LPUSH","83822.30"
Local,basic,20160513_21-33,kvmNetworkDefault,"LPOP","85984.52"
Local,basic,20160513_21-33,kvmNetworkDefault,"SADD","88028.16"
Local,basic,20160513_21-33,kvmNetworkDefault,"SPOP","90415.91"
Local,basic,20160513_21-33,kvmNetworkDefault,"LPUSH (needed to benchmark LRANGE)","83263.95"
Local,basic,20160513_21-33,kvmNetworkDefault,"LRANGE_100 (first 100 elements)","42408.82"
Local,basic,20160513_21-33,kvmNetworkDefault,"LRANGE_300 (first 300 elements)","17190.99"
Local,basic,20160513_21-33,kvmNetworkDefault,"LRANGE_500 (first 450 elements)","12430.08"
Local,basic,20160513_21-33,kvmNetworkDefault,"LRANGE_600 (first 600 elements)","10000.00"
Local,basic,20160513_21-33,kvmNetworkDefault,"MSET (10 keys)","63451.78"
Local,basic,20160513_21-33,lxcBridgeBr0,"PING_INLINE","45475.22"
Local,basic,20160513_21-33,lxcBridgeBr0,"PING_BULK","55555.56"
Local,basic,20160513_21-33,lxcBridgeBr0,"SET","62695.92"
Local,basic,20160513_21-33,lxcBridgeBr0,"GET","66225.16"
Local,basic,20160513_21-33,lxcBridgeBr0,"INCR","66533.60"
Local,basic,20160513_21-33,lxcBridgeBr0,"LPUSH","63011.97"
Local,basic,20160513_21-33,lxcBridgeBr0,"LPOP","59952.04"
Local,basic,20160513_21-33,lxcBridgeBr0,"SADD","60240.96"
Local,basic,20160513_21-33,lxcBridgeBr0,"SPOP","65789.48"
Local,basic,20160513_21-33,lxcBridgeBr0,"LPUSH (needed to benchmark LRANGE)","65746.22"
Local,basic,20160513_21-33,lxcBridgeBr0,"LRANGE_100 (first 100 elements)","39793.07"
Local,basic,20160513_21-33,lxcBridgeBr0,"LRANGE_300 (first 300 elements)","16837.85"
Local,basic,20160513_21-33,lxcBridgeBr0,"LRANGE_500 (first 450 elements)","12735.61"
Local,basic,20160513_21-33,lxcBridgeBr0,"LRANGE_600 (first 600 elements)","10006.00"
Local,basic,20160513_21-33,lxcBridgeBr0,"MSET (10 keys)","55493.89"
Local,basic,20160513_21-33,lxcNetworkDefault,"PING_INLINE","72046.11"
Local,basic,20160513_21-33,lxcNetworkDefault,"PING_BULK","75585.79"
Local,basic,20160513_21-33,lxcNetworkDefault,"SET","78864.35"
Local,basic,20160513_21-33,lxcNetworkDefault,"GET","78064.01"
Local,basic,20160513_21-33,lxcNetworkDefault,"INCR","79302.14"
Local,basic,20160513_21-33,lxcNetworkDefault,"LPUSH","79428.12"
Local,basic,20160513_21-33,lxcNetworkDefault,"LPOP","79239.30"
Local,basic,20160513_21-33,lxcNetworkDefault,"SADD","79617.83"
Local,basic,20160513_21-33,lxcNetworkDefault,"SPOP","78988.94"
Local,basic,20160513_21-33,lxcNetworkDefault,"LPUSH (needed to benchmark LRANGE)","79808.46"
Local,basic,20160513_21-33,lxcNetworkDefault,"LRANGE_100 (first 100 elements)","42808.22"
Local,basic,20160513_21-33,lxcNetworkDefault,"LRANGE_300 (first 300 elements)","17730.50"
Local,basic,20160513_21-33,lxcNetworkDefault,"LRANGE_500 (first 450 elements)","13306.72"
Local,basic,20160513_21-33,lxcNetworkDefault,"LRANGE_600 (first 600 elements)","10053.28"
Local,basic,20160513_21-33,lxcNetworkDefault,"MSET (10 keys)","59276.82"
Local,basic,20160513_21-33,physical,"PING_INLINE","77760.50"
Local,basic,20160513_21-33,physical,"PING_BULK","81366.97"
Local,basic,20160513_21-33,physical,"SET","87950.75"
Local,basic,20160513_21-33,physical,"GET","82987.55"
Local,basic,20160513_21-33,physical,"INCR","67294.75"
Local,basic,20160513_21-33,physical,"LPUSH","66577.90"
Local,basic,20160513_21-33,physical,"LPOP","67750.68"
Local,basic,20160513_21-33,physical,"SADD","73475.39"
Local,basic,20160513_21-33,physical,"SPOP","72621.64"
Local,basic,20160513_21-33,physical,"LPUSH (needed to benchmark LRANGE)","72886.30"
Local,basic,20160513_21-33,physical,"LRANGE_100 (first 100 elements)","39572.62"
Local,basic,20160513_21-33,physical,"LRANGE_300 (first 300 elements)","18667.16"
Local,basic,20160513_21-33,physical,"LRANGE_500 (first 450 elements)","13741.93"
Local,basic,20160513_21-33,physical,"LRANGE_600 (first 600 elements)","10879.02"
Local,basic,20160513_21-33,physical,"MSET (10 keys)","63532.40"
Remote,basic,20160513_20-22,kvmBridgeBr0,"PING_INLINE","67385.45"
Remote,basic,20160513_20-22,kvmBridgeBr0,"PING_BULK","68917.99"
Remote,basic,20160513_20-22,kvmBridgeBr0,"SET","62695.92"
Remote,basic,20160513_20-22,kvmBridgeBr0,"GET","64641.24"
Remote,basic,20160513_20-22,kvmBridgeBr0,"INCR","60975.61"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LPUSH","62034.74"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LPOP","64226.07"
Remote,basic,20160513_20-22,kvmBridgeBr0,"SADD","63532.40"
Remote,basic,20160513_20-22,kvmBridgeBr0,"SPOP","68166.33"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LPUSH (needed to benchmark LRANGE)","72358.90"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LRANGE_100 (first 100 elements)","38684.72"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LRANGE_300 (first 300 elements)","15860.43"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LRANGE_500 (first 450 elements)","12119.74"
Remote,basic,20160513_20-22,kvmBridgeBr0,"LRANGE_600 (first 600 elements)","10139.93"
Remote,basic,20160513_20-22,kvmBridgeBr0,"MSET (10 keys)","55741.36"
Remote,basic,20160513_20-22,kvmNetworkDefault,"PING_INLINE","50658.56"
Remote,basic,20160513_20-22,kvmNetworkDefault,"PING_BULK","51733.06"
Remote,basic,20160513_20-22,kvmNetworkDefault,"SET","51733.06"
Remote,basic,20160513_20-22,kvmNetworkDefault,"GET","52029.14"
Remote,basic,20160513_20-22,kvmNetworkDefault,"INCR","53504.55"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LPUSH","52576.24"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LPOP","52301.26"
Remote,basic,20160513_20-22,kvmNetworkDefault,"SADD","52910.05"
Remote,basic,20160513_20-22,kvmNetworkDefault,"SPOP","59347.18"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LPUSH (needed to benchmark LRANGE)","59311.98"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_100 (first 100 elements)","34518.46"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_300 (first 300 elements)","15035.33"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_500 (first 450 elements)","12531.33"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_600 (first 600 elements)","9814.51"
Remote,basic,20160513_20-22,kvmNetworkDefault,"MSET (10 keys)","55248.62"
Remote,basic,20160513_20-22,lxcBridgeBr0,"PING_INLINE","66006.60"
Remote,basic,20160513_20-22,lxcBridgeBr0,"PING_BULK","71377.59"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SET","62305.30"
Remote,basic,20160513_20-22,lxcBridgeBr0,"GET","70126.23"
Remote,basic,20160513_20-22,lxcBridgeBr0,"INCR","72939.46"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPUSH","71581.96"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPOP","71428.57"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SADD","72780.20"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SPOP","71736.01"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPUSH (needed to benchmark LRANGE)","72568.94"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_100 (first 100 elements)","42372.88"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_300 (first 300 elements)","16450.07"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_500 (first 450 elements)","12431.63"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_600 (first 600 elements)","10258.51"
Remote,basic,20160513_20-22,lxcBridgeBr0,"MSET (10 keys)","55959.71"
Remote,basic,20160513_20-22,lxcNetworkDefault,"PING_INLINE","58616.65"
Remote,basic,20160513_20-22,lxcNetworkDefault,"PING_BULK","53619.30"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SET","49164.21"
Remote,basic,20160513_20-22,lxcNetworkDefault,"GET","49019.61"
Remote,basic,20160513_20-22,lxcNetworkDefault,"INCR","50025.02"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPUSH","51308.36"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPOP","51493.30"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SADD","51546.39"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SPOP","54171.18"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPUSH (needed to benchmark LRANGE)","50787.20"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_100 (first 100 elements)","39541.32"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_300 (first 300 elements)","16849.20"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_500 (first 450 elements)","12879.96"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_600 (first 600 elements)","10250.10"
Remote,basic,20160513_20-22,lxcNetworkDefault,"MSET (10 keys)","45495.91"
Remote,basic,20160513_20-22,physical,"PING_INLINE","73313.78"
Remote,basic,20160513_20-22,physical,"PING_BULK","71942.45"
Remote,basic,20160513_20-22,physical,"SET","72098.05"
Remote,basic,20160513_20-22,physical,"GET","73367.57"
Remote,basic,20160513_20-22,physical,"INCR","72674.41"
Remote,basic,20160513_20-22,physical,"LPUSH","69832.40"
Remote,basic,20160513_20-22,physical,"LPOP","70472.16"
Remote,basic,20160513_20-22,physical,"SADD","70771.41"
Remote,basic,20160513_20-22,physical,"SPOP","71684.59"
Remote,basic,20160513_20-22,physical,"LPUSH (needed to benchmark LRANGE)","72306.58"
Remote,basic,20160513_20-22,physical,"LRANGE_100 (first 100 elements)","41701.42"
